user_id,item_id,rating,timestamp,watch_ratio,liked,qol_delta
197,86,4,1310,0.5293367966221718,1,0.4947618684526667
77,78,3,16032,0.6176489921523216,0,0.6084952516826302
182,46,5,17347,0.42147738258031175,1,-0.6657847333821698
131,10,4,28579,0.9503075054040495,1,-0.804579373545796
55,69,2,31190,0.34308429041998006,0,1.5134821596773367
98,87,4,34146,0.8790052446499212,1,0.7212716487277737
178,98,4,34482,0.31160690630761256,1,1.0301962359306183
109,12,5,37019,0.5201809989686806,1,0.6722707523482979
135,6,4,41295,0.9465528409931541,1,0.9008326914535464
18,10,3,42969,0.7832011741621323,0,0.854891367458461
93,34,4,54290,0.8766024256413616,1,0.6422826662016629
112,45,5,55316,0.448661350161274,1,0.9951932814523912
194,40,5,80699,0.5757136917658725,1,1.1658947366482566
177,13,5,84651,0.46874287086181843,1,1.2923725913572521
21,20,4,87383,0.8805863601734287,1,-0.161227737406912
198,86,4,89154,0.3876903434043681,1,0.42311116193787307
19,12,4,107717,0.8364240537395493,1,0.17754889401053608
49,37,4,111740,0.27873596422226427,1,0.5060599358680364
39,31,5,115748,0.7530492552798529,1,0.3892234891074501
140,68,4,120293,0.7545069839723664,1,-0.5147837861416165
49,31,5,122668,0.8391470678241404,1,0.56918936555424
10,32,5,125892,0.7751640134974973,1,0.7350198557846408
89,45,2,132602,0.2916922887808717,0,0.4714494678712957
88,27,4,139407,0.26238050786655825,1,0.8795023121927079
155,47,4,139532,0.5992714763158913,1,1.2273655207351357
58,42,5,140440,0.5778382024573834,1,1.3499922483657338
67,83,3,154775,0.41437560165562504,0,-0.509885980075852
11,94,3,156572,0.5469001980503313,0,-0.5981319487665091
35,61,4,157602,0.5910091155702935,1,-0.732415164780404
11,35,5,157713,0.37617648287351546,1,0.3866872004357955
5,13,3,160817,0.3846446930306437,0,1.0004090047823988
131,90,5,161752,0.6302607243001792,1,0.9643085034754288
19,4,4,172578,0.45517715713459106,1,0.02422750633882681
87,26,5,181154,0.7313994707779989,1,1.065821014370989
38,91,3,218664,0.3268637592034753,0,-0.48139779594111054
183,60,5,220888,0.7346644614231164,1,0.12241948862560087
113,43,4,233231,0.957430990950981,1,0.9357064019508208
185,62,2,247670,0.4255388421721145,0,0.6816868797746405
30,42,3,254949,0.63675436758475,0,0.6670794835179965
45,8,3,258255,0.6079073476915093,0,0.3487475154479668
165,53,4,258600,0.48760125633197726,1,-0.05343032038421369
55,7,3,275220,0.9789759501487911,0,0.13812233786694134
23,12,5,283889,0.8492103953082728,1,0.6084369354931739
96,19,5,287668,0.65517325387771,1,0.4133236750280691
115,17,4,290295,0.4332427956045859,1,-0.463877882131315
126,10,4,291511,0.6213006205980232,1,1.7075005645721038
89,2,4,298319,0.5812933853853531,1,1.5720507750948918
8,8,4,299003,0.8314174446764291,1,0.8025187661525135
39,8,5,299771,0.4915756697913655,1,-0.1593225387164875
23,39,5,306253,0.37556473243482646,1,0.4153579376388218
87,20,5,308955,0.38235958514541696,1,-0.6772008248042558
87,13,3,309788,0.5486155199043177,0,2.1196124839659882
35,27,3,315486,0.253416397718419,0,0.6130633692111301
22,55,2,320068,0.995224270454214,0,-0.3304287594146521
34,47,3,322013,0.2731399461748934,0,1.6847366536963893
187,85,4,324192,0.2851794168586425,1,0.49616010753781437
97,95,2,324283,0.8662943604113933,0,0.3765059336168396
66,92,5,330923,0.6963177515259678,1,0.9863827341227329
98,26,5,331191,0.2582718823503866,1,0.6832120137642459
89,42,4,334452,0.7924420263575389,1,-0.04289565968289366
127,96,4,335529,0.8783447269419127,1,1.1360532137694668
144,35,1,344142,0.733736132889033,0,1.208472877564775
113,97,5,352287,0.9837773974964248,1,0.2684892041773833
113,8,5,353730,0.6494405068111664,1,1.293338740448788
160,30,5,366053,0.731068581055438,1,-0.6856755251202815
45,53,4,367401,0.9930482604186543,1,0.19543115266611538
108,16,5,378498,0.859989796623261,1,0.4337043247508012
60,75,4,383721,0.3095054839443647,1,1.1268135330608602
95,63,5,399416,0.7566360706099611,1,0.8708768639032816
115,25,5,406568,0.7471539280485533,1,0.1717158585070107
174,99,5,413516,0.4307653315653653,1,1.9424796938292355
92,78,5,421908,0.3527858313272371,1,0.518236732644644
36,52,4,447371,0.6197731140066485,1,1.9244228384973074
194,45,4,466834,0.9308671251221559,1,0.4918229006180577
0,10,5,469815,0.22009078885592617,1,0.6902882077422294
72,80,3,482839,0.35412994085896926,0,0.6569743750349467
56,10,5,482869,0.9875425486935028,1,-0.20816585904331497
102,70,5,483897,0.72496604693814,1,0.016445956408055906
45,28,4,484395,0.3227540602266541,1,-0.05915298500324995
151,48,4,485462,0.9910924781225243,1,1.770919324079555
32,57,5,491808,0.8178078456750022,1,0.3505823098590255
109,39,3,492841,0.5484505843840899,0,0.5548417863738704
126,80,2,493002,0.5390704990854116,0,0.7657719747924615
67,55,5,503022,0.8543686967431996,1,2.7690791749660657
15,35,5,511802,0.8578641387273471,1,0.5686495827465419
176,67,3,512458,0.20820186730536003,0,-0.548261592266829
129,20,4,541456,0.5959772206328955,1,1.1220925352889748
151,10,4,551428,0.8410545055017953,1,-0.371759044777344
155,27,4,569072,0.5295212544901259,1,1.4499713254859774
52,20,5,569160,0.4458669194185954,1,0.6026850500933163
197,99,4,576279,0.9585545108486984,1,0.7854459809228267
154,87,1,578677,0.48813521997910425,0,0.2935626209432568
91,83,5,593202,0.2699789453925571,1,1.6824543708233166
